,Order ID,Grouped
9,278806,"Bose SoundSport Headphones,ThinkPad Laptop"
15,278811,"Wired Headphones,Apple Airpods Headphones"
24,278819,"iPhone,Apple Airpods Headphones"
39,278833,"iPhone,Lightning Charging Cable"
47,278840,"Bose SoundSport Headphones,27in FHD Monitor"
65,278857,"USB-C Charging Cable,AAA Batteries (4-pack)"
151,278940,"Apple Airpods Headphones,AAA Batteries (4-pack)"
156,278944,"Google Phone,Bose SoundSport Headphones"
159,278946,"iPhone,Lightning Charging Cable,Wired Headphones"
185,278970,"Google Phone,USB-C Charging Cable"
221,279005,"Lightning Charging Cable,Wired Headphones"
285,279068,"Flatscreen TV,AAA Batteries (4-pack)"
287,279069,"USB-C Charging Cable,USB-C Charging Cable"
381,279162,"iPhone,Lightning Charging Cable"
395,279175,"AAA Batteries (4-pack),Apple Airpods Headphones"
479,279258,"iPhone,Apple Airpods Headphones,Wired Headphones"
497,279274,"AA Batteries (4-pack),Wired Headphones"
512,279288,"34in Ultrawide Monitor,Wired Headphones"
541,279316,"Wired Headphones,Vareebadd Phone"
548,279320,"Vareebadd Phone,USB-C Charging Cable"
567,279338,"Google Phone,USB-C Charging Cable"
617,279387,"27in FHD Monitor,AA Batteries (4-pack)"
629,279398,"Apple Airpods Headphones,AAA Batteries (4-pack)"
707,279475,"iPhone,Apple Airpods Headphones"
711,279478,"Lightning Charging Cable,USB-C Charging Cable"
733,279499,"Google Phone,Google Phone"
739,279504,"Vareebadd Phone,USB-C Charging Cable"
772,279536,"Google Phone,Wired Headphones"
811,279573,"Lightning Charging Cable,27in FHD Monitor"
834,279595,"Google Phone,USB-C Charging Cable"
845,279605,"Apple Airpods Headphones,USB-C Charging Cable"
873,279632,"iPhone,Lightning Charging Cable"
928,279686,"iPhone,Wired Headphones"
949,279706,"Lightning Charging Cable,Macbook Pro Laptop"
955,279711,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
962,279716,"Wired Headphones,27in 4K Gaming Monitor"
966,279719,"Lightning Charging Cable,AA Batteries (4-pack)"
984,279736,"Bose SoundSport Headphones,Bose SoundSport Headphones"
995,279746,"USB-C Charging Cable,Wired Headphones"
1013,279763,"AAA Batteries (4-pack),AAA Batteries (4-pack)"
1078,279827,"Apple Airpods Headphones,AA Batteries (4-pack)"
1088,279836,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
